t_s,kind,value
0.0058,rate,0.0087
0.0451,rate,0.0705
0.0853,rate,0.1333
0.1205,rate,0.1879
0.1656,rate,0.2568
0.2050,rate,0.3162
0.2405,rate,0.3686
0.2854,rate,0.4332
0.3250,rate,0.4883
0.3653,rate,0.5425
0.4051,rate,0.5940
0.4404,rate,0.6377
0.4854,rate,0.6904
0.5205,rate,0.7293
0.5654,rate,0.7757
0.6052,rate,0.8136
0.6450,rate,0.8484
0.6854,rate,0.8802
0.7208,rate,0.9052
0.7650,rate,0.9325
0.8049,rate,0.9533
0.8453,rate,0.9705
0.8871,rate,0.9842
0.9252,rate,0.9931
0.9609,rate,0.9981
1.0055,rate,1.0000
1.0403,rate,0.9980
1.0805,rate,0.9921
1.1252,rate,0.9808
1.1609,rate,0.9684
1.2056,rate,0.9484
1.2449,rate,0.9271
1.2810,rate,0.9043
1.3203,rate,0.8763
1.3607,rate,0.8439
1.4051,rate,0.8045
1.4454,rate,0.7653
1.4806,rate,0.7285
1.5250,rate,0.6791
1.5604,rate,0.6373
1.6003,rate,0.5876
1.6450,rate,0.5295
1.6810,rate,0.4806
1.7203,rate,0.4255
1.7655,rate,0.3604
1.8059,rate,0.3006
1.8407,rate,0.2481
1.8853,rate,0.1795
1.9254,rate,0.1174
1.9655,rate,0.0545
2.0053,rate,-0.0079
2.0453,rate,-0.0708
2.0812,rate,-0.1269
2.1256,rate,-0.1957
2.1605,rate,-0.2491
2.2051,rate,-0.3164
2.2452,rate,-0.3754
2.2809,rate,-0.4269
2.3255,rate,-0.4891
2.3604,rate,-0.5361
2.4004,rate,-0.5881
2.4407,rate,-0.6380
2.4853,rate,-0.6903
2.5203,rate,-0.7292
2.5653,rate,-0.7756
2.6054,rate,-0.8138
2.6457,rate,-0.8489
2.6805,rate,-0.8765
2.7203,rate,-0.9049
2.7604,rate,-0.9299
2.8009,rate,-0.9514
2.8404,rate,-0.9687
2.8803,rate,-0.9823
2.9213,rate,-0.9923
2.9607,rate,-0.9981
3.0007,rate,-1.0000
3.0456,rate,-0.9975
3.0850,rate,-0.9912
3.1210,rate,-0.9820
3.1608,rate,-0.9684
3.2050,rate,-0.9487
3.2403,rate,-0.9297
3.2809,rate,-0.9044
3.3252,rate,-0.8725
3.3606,rate,-0.8439
3.4055,rate,-0.8041
3.4406,rate,-0.7701
3.4808,rate,-0.7283
3.5203,rate,-0.6844
3.5610,rate,-0.6365
3.6003,rate,-0.5877
3.6404,rate,-0.5356
3.6805,rate,-0.4813
3.7204,rate,-0.4256
3.7609,rate,-0.3670
3.8010,rate,-0.3077
3.8449,rate,-0.2415
3.8808,rate,-0.1864
3.9204,rate,-0.1249
3.9654,rate,-0.0547
4.0010,rate,0.0013
4.0456,rate,0.0712
4.0804,rate,0.1256
4.1207,rate,0.1881
4.1604,rate,0.2490
4.2009,rate,0.3101
4.2454,rate,0.3757
4.2807,rate,0.4265
4.3206,rate,0.4819
4.3654,rate,0.5427
4.4053,rate,0.5942
4.4402,rate,0.6375
4.4852,rate,0.6902
4.5202,rate,0.7291
4.5653,rate,0.7755
4.6048,rate,0.8132
4.6450,rate,0.8483
4.6850,rate,0.8799
4.7207,rate,0.9051
4.7650,rate,0.9325
4.8054,rate,0.9536
4.8413,rate,0.9690
4.8803,rate,0.9823
4.9203,rate,0.9921
4.9651,rate,0.9985
5.0003,rate,1.0000
5.0456,rate,0.9975
5.0806,rate,0.9920
5.1255,rate,0.9807
5.1609,rate,0.9683
5.2052,rate,0.9486
5.2451,rate,0.9269
5.2814,rate,0.9041
5.3254,rate,0.8723
5.3653,rate,0.8400
5.4053,rate,0.8043
5.4453,rate,0.7654
5.4808,rate,0.7283
5.5207,rate,0.6839
5.5650,rate,0.6315
5.6055,rate,0.5811
5.6454,rate,0.5289
5.6808,rate,0.4809
5.7206,rate,0.4252
5.7652,rate,0.3608
5.8005,rate,0.3086
5.8403,rate,0.2485
5.8854,rate,0.1794
5.9255,rate,0.1170
5.9653,rate,0.0549
6.0052,rate,-0.0079
6.0454,rate,-0.0709
6.0812,rate,-0.1269
6.1206,rate,-0.1879
6.1656,rate,-0.2568
6.2049,rate,-0.3161
6.2455,rate,-0.3759
6.2853,rate,-0.4330
6.3216,rate,-0.4836
6.3655,rate,-0.5429
6.4051,rate,-0.5940
6.4410,rate,-0.6383
6.4809,rate,-0.6853
6.5250,rate,-0.7342
6.5603,rate,-0.7706
6.6005,rate,-0.8090
6.6409,rate,-0.8449
6.6853,rate,-0.8802
6.7204,rate,-0.9050
6.7652,rate,-0.9326
6.8010,rate,-0.9515
6.8448,rate,-0.9704
6.8854,rate,-0.9837
6.9254,rate,-0.9931
6.9655,rate,-0.9985
7.0050,rate,-1.0000
7.0451,rate,-0.9975
7.0856,rate,-0.9910
7.1255,rate,-0.9807
7.1655,rate,-0.9665
7.2004,rate,-0.9510
7.2409,rate,-0.9294
7.2854,rate,-0.9014
7.3251,rate,-0.8726
7.3608,rate,-0.8438
7.4003,rate,-0.8090
7.4413,rate,-0.7694
7.4849,rate,-0.7239
7.5253,rate,-0.6787
7.5609,rate,-0.6366
7.6053,rate,-0.5813
7.6405,rate,-0.5353
7.6803,rate,-0.4816
7.7209,rate,-0.4248
7.7607,rate,-0.3674
7.8004,rate,-0.3087
7.8453,rate,-0.2410
7.8853,rate,-0.1796
7.9221,rate,-0.1225
7.9654,rate,-0.0546
8.0005,rate,0.0005
8.0406,rate,0.0634
8.0852,rate,0.1331
8.1253,rate,0.1952
8.1656,rate,0.2569
8.2055,rate,0.3169
8.2404,rate,0.3684
8.2850,rate,0.4326
8.3205,rate,0.4821
8.3649,rate,0.5421
8.4057,rate,0.5947
8.4402,rate,0.6375
8.4848,rate,0.6898
8.5210,rate,0.7298
8.5654,rate,0.7757
8.6052,rate,0.8136
8.6453,rate,0.8486
8.6852,rate,0.8801
8.7207,rate,0.9051
8.7657,rate,0.9329
8.8050,rate,0.9534
8.8408,rate,0.9688
8.8855,rate,0.9838
8.9245,rate,0.9930
8.9606,rate,0.9981
9.0049,rate,1.0000
9.0452,rate,0.9975
9.0805,rate,0.9920
9.1255,rate,0.9807
9.1602,rate,0.9686
9.2055,rate,0.9485
9.2453,rate,0.9268
9.2848,rate,0.9017
9.3251,rate,0.8726
9.3655,rate,0.8399
9.4050,rate,0.8045
9.4450,rate,0.7656
9.4802,rate,0.7289
9.5249,rate,0.6791
9.5603,rate,0.6373
9.6004,rate,0.5875
9.6448,rate,0.5297
9.6852,rate,0.4749
9.7204,rate,0.4255
9.7645,rate,0.3617
9.8047,rate,0.3022
9.8404,rate,0.2483
9.8852,rate,0.1798
9.9251,rate,0.1177
9.9655,rate,0.0546
10.0053,rate,-0.0080
10.0447,rate,-0.0699
10.0812,rate,-0.1268
10.1252,rate,-0.1951
10.1653,rate,-0.2564
10.2052,rate,-0.3166
10.2447,rate,-0.3748
10.2856,rate,-0.4334
10.3253,rate,-0.4888
10.3652,rate,-0.5425
10.4008,rate,-0.5886
10.4449,rate,-0.6431
10.4855,rate,-0.6905
10.5203,rate,-0.7291
10.5649,rate,-0.7752
10.6057,rate,-0.8140
10.6409,rate,-0.8450
10.6807,rate,-0.8767
10.7205,rate,-0.9050
10.7655,rate,-0.9328
10.8010,rate,-0.9515
10.8447,rate,-0.9703
10.8851,rate,-0.9837
10.9234,rate,-0.9927
10.9649,rate,-0.9985
11.0050,rate,-1.0000
11.0407,rate,-0.9980
11.0850,rate,-0.9911
11.1251,rate,-0.9808
11.1602,rate,-0.9686
11.2006,rate,-0.9508
11.2412,rate,-0.9292
11.2855,rate,-0.9013
11.3207,rate,-0.8759
11.3612,rate,-0.8434
11.4005,rate,-0.8088
11.4406,rate,-0.7701
11.4853,rate,-0.7235
11.5254,rate,-0.6786
11.5611,rate,-0.6363
11.6004,rate,-0.5875
11.6447,rate,-0.5297
11.6855,rate,-0.4744
11.7209,rate,-0.4248
11.7664,rate,-0.3591
11.8004,rate,-0.3086
11.8451,rate,-0.2413
11.8804,rate,-0.1870
11.9255,rate,-0.1171
11.9650,rate,-0.0552
12.0011,rate,0.0015
12.0453,rate,0.0707
12.0849,rate,0.1327
12.1253,rate,0.1952
12.1647,rate,0.2555
12.2004,rate,0.3093
12.2403,rate,0.3684
12.2848,rate,0.4323
12.3248,rate,0.4880
12.3606,rate,0.5364
12.4054,rate,0.5943
12.4453,rate,0.6435
12.4805,rate,0.6849
12.5210,rate,0.7298
12.5625,rate,0.7728
12.6050,rate,0.8134
12.6453,rate,0.8486
12.6847,rate,0.8797
12.7215,rate,0.9057
12.7602,rate,0.9298
12.8007,rate,0.9513
12.8403,rate,0.9686
12.8848,rate,0.9836
12.9219,rate,0.9924
12.9603,rate,0.9980
13.0057,rate,1.0000
13.0408,rate,0.9980
13.0805,rate,0.9920
13.1255,rate,0.9807
13.1606,rate,0.9684
13.2012,rate,0.9506
13.2455,rate,0.9267
13.2811,rate,0.9043
13.3204,rate,0.8762
13.3609,rate,0.8437
13.4055,rate,0.8041
13.4412,rate,0.7695
13.4814,rate,0.7277
13.5208,rate,0.6839
13.5619,rate,0.6362
13.6006,rate,0.5872
13.6402,rate,0.5358
13.6809,rate,0.4808
13.7209,rate,0.4247
13.7654,rate,0.3606
13.8003,rate,0.3089
13.8405,rate,0.2483
13.8853,rate,0.1796
13.9207,rate,0.1246
13.9656,rate,0.0544
14.0051,rate,-0.0077
14.0449,rate,-0.0702
14.0807,rate,-0.1261
14.1202,rate,-0.1874
14.1654,rate,-0.2566
14.2050,rate,-0.3162
14.2448,rate,-0.3749
14.2805,rate,-0.4263
14.3253,rate,-0.4888
14.3649,rate,-0.5420
14.4056,rate,-0.5946
14.4407,rate,-0.6380
14.4855,rate,-0.6906
14.5207,rate,-0.7295
14.5655,rate,-0.7758
14.6052,rate,-0.8136
14.6415,rate,-0.8454
14.6853,rate,-0.8801
14.7250,rate,-0.9080
14.7653,rate,-0.9327
14.8054,rate,-0.9535
14.8450,rate,-0.9704
14.8855,rate,-0.9838
14.9256,rate,-0.9931
14.9602,rate,-0.9980
15.0002,rate,-1.0000
15.0452,rate,-0.9975
15.0804,rate,-0.9921
15.1203,rate,-0.9823
15.1647,rate,-0.9668
15.2005,rate,-0.9509
15.2454,rate,-0.9268
15.2804,rate,-0.9047
15.3252,rate,-0.8725
15.3656,rate,-0.8398
15.4053,rate,-0.8044
15.4409,rate,-0.7698
15.4847,rate,-0.7241
15.5249,rate,-0.6791
15.5607,rate,-0.6368
15.6054,rate,-0.5812
15.6452,rate,-0.5292
15.6807,rate,-0.4811
15.7210,rate,-0.4247
15.7651,rate,-0.3610
15.8009,rate,-0.3079
15.8453,rate,-0.2409
15.8803,rate,-0.1872
15.9216,rate,-0.1232
15.9652,rate,-0.0549
16.0011,rate,0.0015
16.0013,rate,0.0000
17.7602,rate,0.0000
